LOANID,MONTHEND,loan_status,PRIN_BAL,CURR_MO_PRIN_PD,CURR_MO_INT_PD,CUR_DUE_AMT,IRB,PAST_DUE_AMTpif,INT_RATEpif,PassId,studentfutureid,period,month
1,0000-00-00,30,13917.99,45.44,44.69,90.13,24.42,90.13,0.0402,0,1,261,0
1,0000-00-00,30,13872.55,44.01,46.63,90.64,24.42,90.13,0.0402,0,1,262,1
1,0000-00-00,30,13828.53693,44.16,46.47,90.63,24.42,90.13,0.0402,0,1,263,2
1,0000-00-00,30,13784.38097,44.3,46.33,90.63,24.42,90.13,0.0402,0,1,264,3
1,0000-00-00,30,13740.07662,44.45,46.18,90.63,24.42,90.13,0.0402,0,1,265,4
1,0000-00-00,30,13695.62337,44.6,46.03,90.63,24.42,90.13,0.0402,0,1,266,5
1,0000-00-00,30,13651.02072,44.75,45.88,90.63,24.42,90.13,0.0402,0,1,267,6
1,0000-00-00,30,13606.26817,44.9,45.73,90.63,24.42,90.13,0.0402,0,1,268,7
1,0000-00-00,30,13561.3652,45.05,45.58,90.63,24.42,90.13,0.0402,0,1,269,8
1,0000-00-00,30,13516.3113,45.21,45.43,90.64,24.42,90.13,0.0402,0,1,270,9
1,0000-00-00,30,13471.10598,45.36,45.28,90.64,24.42,90.13,0.0402,0,1,271,10
1,0000-00-00,30,13425.7487,45.51,45.13,90.64,24.42,90.13,0.0402,0,1,272,11
1,0000-00-00,30,13380.23897,45.66,44.98,90.64,24.42,90.13,0.0402,0,1,273,12
8,0000-00-00,30,959.95,47.64,2.36,50,1.24,50,0.0302,0,1,274,0
8,0000-00-00,30,912.31,52.2,2.42,54.61,1.24,50,0.0302,0,1,275,1
8,0000-00-00,30,860.1111939,52.59,2.3,54.89,1.24,50,0.0302,0,1,276,2
8,0000-00-00,30,807.518214,52.75,2.16,54.91,1.24,50,0.0302,0,1,277,3
8,0000-00-00,30,754.768701,52.89,2.03,54.92,1.24,50,0.0302,0,1,278,4
8,0000-00-00,30,701.8761821,53.04,1.9,54.94,1.24,50,0.0302,0,1,279,5
8,0000-00-00,30,648.8405017,53.18,1.77,54.95,1.24,50,0.0302,0,1,280,6
8,0000-00-00,30,595.6605011,53.33,1.63,54.96,1.24,50,0.0302,0,1,281,7
8,0000-00-00,30,542.334803,53.47,1.5,54.97,1.24,50,0.0302,0,1,282,8
8,0000-00-00,30,488.8618225,53.62,1.36,54.99,1.24,50,0.0302,0,1,283,9
8,0000-00-00,30,435.2397061,53.77,1.23,55,1.24,50,0.0302,0,1,284,10
8,0000-00-00,30,381.4662362,53.93,1.1,55.02,1.24,50,0.0302,0,1,285,11
8,0000-00-00,30,327.5386833,54.09,0.96,55.05,1.24,50,0.0302,0,1,286,12
9,0000-00-00,73,7130.88,0,0,76.93,2645.48,76.93,0.1027,0,1,287,0
9,0000-00-00,73,7130.88,0,0,77.81,2706.51,76.93,0.1027,0,1,288,1
9,0000-00-00,73,7130.88,0,0,77.99,2767.54,76.93,0.1027,0,1,289,2
9,0000-00-00,73,7130.88,0,0,78.18,2828.57,76.93,0.1027,0,1,290,3
9,0000-00-00,73,7130.88,0,0,78.37,2889.59,76.93,0.1027,0,1,291,4
9,0000-00-00,73,7130.88,0,0,78.56,2950.62,76.93,0.1027,0,1,292,5
9,0000-00-00,73,7130.88,0,0,78.75,3011.65,76.93,0.1027,0,1,293,6
9,0000-00-00,33,7130.88,0,0,78.95,3072.68,76.93,0.1027,0,1,294,7
9,0000-00-00,33,7130.88,0,0,79.15,3133.71,76.93,0.1027,0,1,295,8
9,0000-00-00,33,7130.88,0,0,79.35,3194.74,76.93,0.1027,0,1,296,9
9,0000-00-00,33,7130.88,0,0,79.55,3255.76,76.93,0.1027,0,1,297,10
9,0000-00-00,33,7130.88,0,0,79.76,3316.79,76.93,0.1027,0,1,298,11
9,0000-00-00,33,7130.88,0,0,79.97,3377.82,76.93,0.1027,0,1,299,12
11,0000-00-00,33,34232.11,0,0,253.12,183.68,253.12,0.0417,0,1,300,0
11,0000-00-00,33,34232.11,0,0,256.14,302.64,253.12,0.0417,0,1,301,1
11,0000-00-00,33,34232.11,0,0,257.17,421.59,253.12,0.0417,0,1,302,2
11,0000-00-00,33,34232.11,0,0,258.21,540.55,253.12,0.0417,0,1,303,3
11,0000-00-00,33,34232.11,0,0,259.26,659.51,253.12,0.0417,0,1,304,4
11,0000-00-00,33,34232.11,0,0,260.33,778.46,253.12,0.0417,0,1,305,5
11,0000-00-00,33,34232.11,0,0,261.41,897.42,253.12,0.0417,0,1,306,6
11,0000-00-00,33,34232.11,0,0,262.5,1016.38,253.12,0.0417,0,1,307,7
11,0000-00-00,33,34232.11,0,0,263.61,1135.33,253.12,0.0417,0,1,308,8
11,0000-00-00,33,34232.11,0,0,264.73,1254.29,253.12,0.0417,0,1,309,9
11,0000-00-00,33,34232.11,0,0,265.86,1373.25,253.12,0.0417,0,1,310,10
11,0000-00-00,33,34232.11,0,0,267.01,1492.2,253.12,0.0417,0,1,311,11
11,0000-00-00,33,34232.11,0,0,268.17,1611.16,253.12,0.0417,0,1,312,12
12,0000-00-00,30,17373.25,360.6,89.4,0,1.79,0,0.0377,150,1,313,0
12,0000-00-00,33,17012.65,0,0,126.51,56.37,0,0.0377,150,1,314,1
12,0000-00-00,30,17069.02096,70.96,53.45,124.4,0,0,0.0377,0,1,315,2
12,0000-00-00,33,16998.06526,0,0,125.34,53.63,0,0.0377,0,1,316,3
12,0000-00-00,30,17051.69044,143.34,106.4,125.34,0,0,0.0377,0,1,317,4
12,0000-00-00,30,16908.34613,72.7,53.57,126.27,0,0,0.0377,0,1,318,5
12,0000-00-00,33,16835.64266,0,0,125.75,53.12,0,0.0377,0,1,319,6
12,0000-00-00,30,16888.76304,146.02,106.01,125.75,0,0,0.0377,0,1,320,7
12,0000-00-00,33,16742.74573,0,0,126.69,53.06,0,0.0377,0,1,321,8
12,0000-00-00,30,16795.8046,146.86,105.03,126.15,0,0,0.0377,0,1,322,9
12,0000-00-00,33,16648.94198,0,0,127.11,52.77,0,0.0377,0,1,323,10
12,0000-00-00,30,16701.7088,148.26,104.44,126.55,0,0,0.0377,0,1,324,11
12,0000-00-00,33,16553.44877,0,0,127.52,52.47,0,0.0377,0,1,325,12
13,0000-00-00,30,23619.24,92.34,68.52,160.86,31.69,160.86,0.0377,0,1,326,0
13,0000-00-00,30,23526.9,87.97,74.2,162.18,31.69,160.86,0.0377,0,1,327,1
13,0000-00-00,30,23438.92847,88.23,73.91,162.15,31.69,160.86,0.0377,0,1,328,2
13,0000-00-00,30,23350.69695,88.51,73.64,162.15,31.69,160.86,0.0377,0,1,329,3
13,0000-00-00,30,23262.18725,88.79,73.36,162.15,31.69,160.86,0.0377,0,1,330,4
13,0000-00-00,30,23173.39843,89.07,73.08,162.15,31.69,160.86,0.0377,0,1,331,5
13,0000-00-00,30,23084.32959,89.35,72.8,162.15,31.69,160.86,0.0377,0,1,332,6
13,0000-00-00,30,22994.97985,89.63,72.52,162.15,31.69,160.86,0.0377,0,1,333,7
13,0000-00-00,30,22905.34831,89.91,72.24,162.16,31.69,160.86,0.0377,0,1,334,8
13,0000-00-00,30,22815.43408,90.2,71.96,162.16,31.69,160.86,0.0377,0,1,335,9
13,0000-00-00,30,22725.23625,90.48,71.68,162.16,31.69,160.86,0.0377,0,1,336,10
13,0000-00-00,30,22634.75393,90.77,71.4,162.16,31.69,160.86,0.0377,0,1,337,11
13,0000-00-00,30,22543.98621,91.05,71.11,162.16,31.69,160.86,0.0377,0,1,338,12
14,0000-00-00,30,16826.2,32.01,131.16,163.17,53.72,163.17,0.0897,0,1,339,0
14,0000-00-00,30,16794.19,38.43,125.78,164.21,53.72,163.17,0.0897,0,1,340,1
14,0000-00-00,30,16755.75607,38.74,125.54,164.27,53.72,163.17,0.0897,0,1,341,2
14,0000-00-00,30,16717.02004,39.03,125.25,164.28,53.72,163.17,0.0897,0,1,342,3
14,0000-00-00,30,16677.99374,39.32,124.96,164.28,53.72,163.17,0.0897,0,1,343,4
14,0000-00-00,30,16638.67505,39.61,124.67,164.28,53.72,163.17,0.0897,0,1,344,5
14,0000-00-00,30,16599.06175,39.91,124.37,164.28,53.72,163.17,0.0897,0,1,345,6
14,0000-00-00,30,16559.15163,40.21,124.08,164.29,53.72,163.17,0.0897,0,1,346,7
14,0000-00-00,30,16518.94247,40.51,123.78,164.29,53.72,163.17,0.0897,0,1,347,8
14,0000-00-00,30,16478.43201,40.81,123.48,164.29,53.72,163.17,0.0897,0,1,348,9
14,0000-00-00,30,16437.61799,41.12,123.18,164.3,53.72,163.17,0.0897,0,1,349,10
14,0000-00-00,30,16396.49814,41.43,122.87,164.3,53.72,163.17,0.0897,0,1,350,11
14,0000-00-00,30,16355.07013,41.74,122.56,164.3,53.72,163.17,0.0897,0,1,351,12
15,0000-00-00,30,11770.35,9.11,119.95,127.15,72.64,127.15,0.1127,1.91,1,352,0
15,0000-00-00,30,11761.24,16.92,110.54,127.47,72.64,127.15,0.1127,0,1,353,1
15,0000-00-00,30,11744.31613,17.09,110.46,127.55,72.64,127.15,0.1127,0,1,354,2
15,0000-00-00,30,11727.22197,17.25,110.3,127.55,72.64,127.15,0.1127,0,1,355,3
15,0000-00-00,30,11709.96701,17.42,110.14,127.56,72.64,127.15,0.1127,0,1,356,4
15,0000-00-00,30,11692.54976,17.58,109.98,127.56,72.64,127.15,0.1127,0,1,357,5
15,0000-00-00,33,11674.96869,0,0,127.56,182.45,127.15,0.1127,0,1,358,6
15,0000-00-00,30,11857.42122,35.83,219.29,127.56,0,127.15,0.1127,0,1,359,7
15,0000-00-00,30,11821.59501,18.39,111.36,129.75,0,127.15,0.1127,0,1,360,8
