LOANID,MONTHEND,loan_status,PRIN_BAL,month,CURR_MO_PRIN_PD,CUR_DUE_AMT,IRB,PAST_DUE_AMTpif,INT_RATEpif,period,studentfutureid,PassId,CURR_MO_INT_PD
17306,0000-00-00,73,5973.26,0,0,50,1074.95,50,0.0627,1,1,0,0
17306,0000-00-00,73,5973.26,1,0,50.29,1106.16,50,0.0627,2,1,0,0
17306,0000-00-00,73,5973.26,2,0,50.45,1137.37,50,0.0627,3,1,0,0
17306,0000-00-00,73,5973.26,3,0,50.61,1168.58,50,0.0627,4,1,0,0
17306,0000-00-00,73,5973.26,4,0,50.77,1199.79,50,0.0627,5,1,0,0
17306,0000-00-00,73,5973.26,5,0,50.94,1231,50,0.0627,6,1,0,0
17306,0000-00-00,73,5973.26,6,0,51.11,1262.21,50,0.0627,7,1,0,0
17306,0000-00-00,33,5973.26,7,0,51.28,1293.42,50,0.0627,8,1,0,0
17306,0000-00-00,33,5973.26,8,0,51.45,1324.63,50,0.0627,9,1,0,0
17306,0000-00-00,33,5973.26,9,0,51.63,1355.84,50,0.0627,10,1,0,0
17306,0000-00-00,33,5973.26,10,0,51.81,1387.05,50,0.0627,11,1,0,0
17306,0000-00-00,33,5973.26,11,0,51.99,1418.26,50,0.0627,12,1,0,0
17306,0000-00-00,33,5973.26,12,0,52.17,1449.47,50,0.0627,13,1,0,0
17307,0000-00-00,90,0,0,0,0,0,0,0,14,1,0,0
17307,0000-00-00,90,0,1,0,50,0,0,0,15,1,0,0
17307,0000-00-00,90,0,2,0,50,0,0,0,16,1,0,0
17307,0000-00-00,90,0,3,0,50,0,0,0,17,1,0,0
17307,0000-00-00,90,0,4,0,50,0,0,0,18,1,0,0
17307,0000-00-00,90,0,5,0,50,0,0,0,19,1,0,0
17307,0000-00-00,90,0,6,0,50,0,0,0,20,1,0,0
17307,0000-00-00,90,0,7,0,50,0,0,0,21,1,0,0
17307,0000-00-00,90,0,8,0,50,0,0,0,22,1,0,0
17307,0000-00-00,90,0,9,0,50,0,0,0,23,1,0,0
17307,0000-00-00,90,0,10,0,50,0,0,0,24,1,0,0
17307,0000-00-00,90,0,11,0,50,0,0,0,25,1,0,0
17307,0000-00-00,90,0,12,0,50,0,0,0,26,1,0,0
17308,0000-00-00,90,0,0,0,0,0,0,0,27,1,0,0
17308,0000-00-00,90,0,1,0,50,0,0,0,28,1,0,0
17308,0000-00-00,90,0,2,0,50,0,0,0,29,1,0,0
17308,0000-00-00,90,0,3,0,50,0,0,0,30,1,0,0
17308,0000-00-00,90,0,4,0,50,0,0,0,31,1,0,0
